OUTCOME,Exposure.Coefficient,Std.Error Coef.Exp,Residual Variance of Model,Components of Variance Correlation,VAR COR,SD COR,Model Structure,IQR of Exposure,Coef IQR
CACT_ACT_cont,0.188314555695881,0.262462755980972,16.2842789881577, , , ,x ~ vest_O3 + age + gender + race_afam,4.80028106288265,0.0392299020055286

FEV1_pp_GLI,0.34440570432569,0.767606094737852,212.983151324141, , , ,x ~ vest_O3,4.80028106288265,0.0717469872730471

FEV1_Zscore_GLI,0.0256987208767847,0.0635732784093169,1.46089040337058, , , ,x ~ vest_O3,4.80028106288265,0.0053535867046402

FVC_pp_GLI,0.0988502146423407,0.55641113125691,111.907717865423, , , ,x ~ vest_O3,4.80028106288265,0.0205925889229035

FVC_Zscore_GLI,0.0105928919838815,0.0465785890357519,0.784225712253766, , , ,x ~ vest_O3,4.80028106288265,0.00220672328247385

FEV1_FVC,0.00244520093332116,0.00487652897445463,0.00859587394018782, , , ,x ~ vest_O3,4.80028106288265,0.000509387034069372

FEV1_FVC_pp_GLI,0.33113155633983,0.552975887017772,110.530162319637, , , ,x ~ vest_O3,4.80028106288265,0.0689817016966461

FEV1_FVC_Zscore_GLI,0.00928563327806552,0.0568129545849309,1.16671067369904, , , ,x ~ vest_O3,4.80028106288265,0.00193439366495956

FEF2575_pp_GLI,0.262609369973464,1.3030185394171,613.719058007793, , , ,x ~ vest_O3,4.80028106288265,0.0547070820506837

FEF2575_Zscore_GLI,0.0156084124724322,0.0654551130912004,1.54865819509536, , , ,x ~ vest_O3,4.80028106288265,0.00325156220395543

FeNO_avg,-1.18609580575781,1.23939133977527,521.101542434071, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.247088824637601

log_FeNO_avg,-0.0511380251695851,0.0400739639885078,0.544791159366446, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.0106531314520312

cbc_wbc,-0.24101871657754,0.122761647189239,2.2248701983066, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.0502092926268789

log_cbc_wbc,-0.0325667608078219,0.0173625937782218,0.044504965994456, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.00678434457924532

cbc_abs_eos,-0.00999821746880569,0.014299096856486,0.0301853683897801, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.00208284001245577

cbc_abs_neut,-0.139273172905526,0.0834295555074756,1.02758823703951, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.0290135454739165

log_cbc_abs_neut,-0.0300940401967486,0.0263902918504396,0.102817644662296, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.006269224614668

cbc_percent_eos,-0.0135876622510598,0.208191859911685,6.39892109191735, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.00283059722400926

cbc_percent_neut,-0.00193923769416375,0.686309379242367,69.5375095853212, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.000403984197750122

log_cbc_percent_neut,0.00247272061107322,0.0156242246898755,0.0360392891596316, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,0.000515119964577305

CASI_Total_wFxn,0.0630296499577877,0.164522124835709,8.92514615277282, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,0.0131304082265419

CACT_ACT_cont,-0.19925831232614,0.304110720682573,16.343693887396, , , ,x ~ CDPHE_O3_mean + age + gender + race_afam,4,-0.0415097178094156

FEV1_pp_GLI,-0.711281245199654,0.696852594531179,207.21613494636, , , ,x ~ CDPHE_O3_mean,4,-0.14817491640219

FEV1_Zscore_GLI,-0.0626032085894052,0.0575460952817329,1.41310179178406, , , ,x ~ CDPHE_O3_mean,4,-0.0130415714766108

FVC_pp_GLI,-0.7684124415936,0.492793753633249,103.6268065572, , , ,x ~ CDPHE_O3_mean,4,-0.160076552086755

FVC_Zscore_GLI,-0.0634503995247894,0.0413131285639873,0.728312720320992, , , ,x ~ CDPHE_O3_mean,4,-0.0132180592539484

FEV1_FVC,-0.000800101721426329,0.00450462050886845,0.0086588087174806, , , ,x ~ CDPHE_O3_mean,4,-0.000166678098833208

FEV1_FVC_pp_GLI,-0.0581476249399218,0.511865982564033,111.803207405336, , , ,x ~ CDPHE_O3_mean,4,-0.0121133792330492

FEV1_FVC_Zscore_GLI,0.0218537379475381,0.0521599411406603,1.16095640386032, , , ,x ~ CDPHE_O3_mean,4,0.00455259549623424

FEF2575_pp_GLI,-0.354575091365944,1.19832590003189,612.761708296695, , , ,x ~ CDPHE_O3_mean,4,-0.0738654855249279

FEF2575_Zscore_GLI,-0.0379472977384301,0.0599007819028709,1.53111111403175, , , ,x ~ CDPHE_O3_mean,4,-0.00790522414028026

cbc_wbc,-1.41176220610795,0.547967034411797,1.95962041407502, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-2.03849860097893

log_cbc_wbc,-0.223543983199234,0.0807712826035449,0.0425771952568457, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-0.322783890259525

cbc_abs_eos,-0.135238937976018,0.0609438105296298,0.0242394242990653, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-0.195276785757011

cbc_abs_neut,-0.459454842624301,0.440962079394791,1.26901156003394, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-0.66342479622309

log_cbc_abs_neut,-0.180614355117772,0.132718899340669,0.114955203165029, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-0.260796123193664

cbc_percent_eos,-0.960767224382618,1.05011453204175,7.19675018521908, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,-1.38728932839884

cbc_percent_neut,2.10881111901726,3.70326721274273,89.5020928860947, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,3.04499475708218

log_cbc_percent_neut,0.0429296280814617,0.0784163167494661,0.0401306292434621, , , ,x ~ log_vest_pm10 + age + gender + race_afam + season,0.692549999999999,0.0619877670658605

cbc_wbc,-1.01727759347504,0.457988518064618,2.07176819687376, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-1.11206745613658

log_cbc_wbc,-0.164608631713379,0.0675383717805362,0.045053979225664, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-0.179946853741562

cbc_abs_eos,-0.116525059168121,0.0497925714604925,0.0244884384401686, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-0.127382856907913

cbc_abs_neut,-0.208708062708848,0.36839999625442,1.34051357348009, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-0.228155466964502

log_cbc_abs_neut,-0.109869948614557,0.11109424410769,0.121903197793179, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-0.120107623568379

cbc_percent_eos,-1.04117091309768,0.858277525081815,7.27591240644187, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,-1.13818715379024

cbc_percent_neut,2.97950064833634,2.99883900846482,88.8256275624148, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,3.2571303327679

log_cbc_percent_neut,0.0547386830988194,0.063741595785379,0.0401308025945204, , , ,x ~ log_msp_pm10 + age + gender + race_afam + season,0.91476248842777,0.0598392301731791

cbc_wbc,-0.0376641003515281,0.0443105767012172,2.25576620487601, , , ,x ~ CDPHE_PM10_mean + age + gender + race_afam + season,12,-0.00313867502929401

