Outcome,Exposure,ModelStructure2,ExposureCoefficient,StdErrorCoefExp,ResidModelVariance,RandomEffectLabel,RandEffectVar,IQRExposure,Coef_IQR
FEV1_FVC_Zscore_GLI,vest_O3,FEV1_FVC_Zscore_GLI ~ vest_O3,0.00928563327806552,0.0568129545849309,1.16671067369904, , ,4.80028106288265,0.00193439366495956

FEF2575_pp_GLI,vest_O3,FEF2575_pp_GLI ~ vest_O3,0.262609369973464,1.3030185394171,613.719058007793, , ,4.80028106288265,0.0547070820506837

FEF2575_Zscore_GLI,vest_O3,FEF2575_Zscore_GLI ~ vest_O3,0.0156084124724322,0.0654551130912004,1.54865819509536, , ,4.80028106288265,0.00325156220395543

FeNO_avg,CDPHE_O3_mean,FeNO_avg ~ CDPHE_O3_mean + age + gender + race_afam,-1.18609580575781,1.23939133977527,521.101542434071, , ,4,-0.247088824637601

log_FeNO_avg,CDPHE_O3_mean,log_FeNO_avg ~ CDPHE_O3_mean + age + gender + race_afam,-0.0511380251695851,0.0400739639885078,0.544791159366446, , ,4,-0.0106531314520312

cbc_wbc,CDPHE_O3_mean,cbc_wbc ~ CDPHE_O3_mean + age + gender + race_afam,-0.24101871657754,0.122761647189239,2.2248701983066, , ,4,-0.0502092926268789

log_cbc_wbc,CDPHE_O3_mean,log_cbc_wbc ~ CDPHE_O3_mean + age + gender + race_afam,-0.0325667608078219,0.0173625937782218,0.044504965994456, , ,4,-0.00678434457924532

cbc_abs_eos,CDPHE_O3_mean,cbc_abs_eos ~ CDPHE_O3_mean + age + gender + race_afam,-0.00999821746880569,0.014299096856486,0.0301853683897801, , ,4,-0.00208284001245577

cbc_abs_neut,CDPHE_O3_mean,cbc_abs_neut ~ CDPHE_O3_mean + age + gender + race_afam,-0.139273172905526,0.0834295555074756,1.02758823703951, , ,4,-0.0290135454739165

log_cbc_abs_neut,CDPHE_O3_mean,log_cbc_abs_neut ~ CDPHE_O3_mean + age + gender + race_afam,-0.0300940401967486,0.0263902918504396,0.102817644662296, , ,4,-0.006269224614668

cbc_percent_eos,CDPHE_O3_mean,cbc_percent_eos ~ CDPHE_O3_mean + age + gender + race_afam,-0.0135876622510598,0.208191859911685,6.39892109191735, , ,4,-0.00283059722400926

cbc_percent_neut,CDPHE_O3_mean,cbc_percent_neut ~ CDPHE_O3_mean + age + gender + race_afam,-0.00193923769416375,0.686309379242367,69.5375095853212, , ,4,-0.000403984197750122

